"Index Name","Date","Open","High","Low","Close"
"NIFTY IT","31 Dec 2021","38708.15","38861.10","38468.40","38701.00"
"NIFTY IT","30 Dec 2021","38231.15","38897.60","38153.35","38658.80"
"NIFTY IT","29 Dec 2021","38269.10","38484.90","38181.90","38274.65"
"NIFTY IT","28 Dec 2021","38184.60","38500.25","38164.45","38357.80"
"NIFTY IT","27 Dec 2021","37722.90","38029.30","37431.00","37988.50"
"NIFTY IT","24 Dec 2021","37657.15","37822.15","37417.65","37727.80"
"NIFTY IT","23 Dec 2021","37190.30","37528.00","37086.90","37362.80"
"NIFTY IT","22 Dec 2021","36853.85","37014.75","36669.00","36989.15"
"NIFTY IT","21 Dec 2021","36159.20","36970.55","36147.60","36627.15"
"NIFTY IT","20 Dec 2021","36411.85","36598.35","35559.30","35916.45"
"NIFTY IT","17 Dec 2021","36704.20","37013.25","36497.95","36647.90"
"NIFTY IT","16 Dec 2021","36078.30","36354.85","35979.15","36160.30"
"NIFTY IT","15 Dec 2021","36033.90","36060.00","35536.15","35737.20"
"NIFTY IT","14 Dec 2021","35946.75","36252.05","35637.85","36102.55"
"NIFTY IT","13 Dec 2021","36104.35","36507.30","35984.55","36050.55"
"NIFTY IT","10 Dec 2021","35820.05","35974.75","35652.20","35939.60"
"NIFTY IT","09 Dec 2021","35963.70","36114.00","35573.35","35946.35"
"NIFTY IT","08 Dec 2021","35584.80","36131.95","35576.85","35959.05"
"NIFTY IT","07 Dec 2021","35136.55","35384.00","34756.60","35272.30"
"NIFTY IT","06 Dec 2021","35835.45","35953.75","34828.15","34879.40"
"NIFTY IT","03 Dec 2021","36314.80","36518.80","35784.15","35848.05"
"NIFTY IT","02 Dec 2021","35504.80","36195.65","35418.25","36157.85"
"NIFTY IT","01 Dec 2021","35143.00","35652.20","35123.95","35428.95"
"NIFTY IT","30 Nov 2021","35018.90","35654.20","34918.60","35043.75"
"NIFTY IT","29 Nov 2021","34382.40","35104.35","33953.90","34870.75"
"NIFTY IT","26 Nov 2021","35024.70","35190.10","34512.60","34606.10"
"NIFTY IT","25 Nov 2021","34978.00","35365.75","34934.55","35300.25"
"NIFTY IT","24 Nov 2021","35627.95","35662.60","34828.30","34966.25"
"NIFTY IT","23 Nov 2021","35206.00","35645.45","34707.85","35504.40"
"NIFTY IT","22 Nov 2021","36097.00","36097.00","35224.55","35478.95"
"NIFTY IT","18 Nov 2021","36641.55","36702.40","35867.30","36007.00"
"NIFTY IT","17 Nov 2021","36623.75","36835.95","36431.25","36660.90"
"NIFTY IT","16 Nov 2021","36555.25","36794.25","36429.90","36643.85"
"NIFTY IT","15 Nov 2021","36391.10","36646.25","36302.95","36465.30"
"NIFTY IT","12 Nov 2021","35860.10","36378.05","35732.75","36332.25"
"NIFTY IT","11 Nov 2021","35626.65","35697.00","35141.30","35583.65"
